# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 2)   1.391 us    |  mutex_unlock();
 2)               |  do_syscall_64() {
 2)   0.235 us    |    __mutex_init();
 2)   0.330 us    |    mutex_lock();
 2)   0.241 us    |    mutex_unlock();
 2)   0.234 us    |    mutex_lock();
 2)   0.233 us    |    mutex_unlock();
 2)   0.237 us    |    mutex_lock();
 2)   0.235 us    |    mutex_unlock();
 2)   0.237 us    |    mutex_lock();
 2)   0.231 us    |    mutex_unlock();
 2)   0.255 us    |    mutex_lock();
 2)   0.233 us    |    mutex_unlock();
 2)   0.230 us    |    __mutex_init();
 2)   9.521 us    |  }
 2)               |  do_syscall_64() {
 2)   0.234 us    |    mutex_lock();
 1)   1.566 us    |  mutex_lock();
 1)   0.536 us    |  mutex_unlock();
 3)   1.547 us    |  mutex_lock();
 3)   0.251 us    |  mutex_is_locked();
 3)   0.244 us    |  mutex_unlock();
 3)               |  do_syscall_64() {
 3)   0.317 us    |    mutex_trylock();
 3)   0.349 us    |    mutex_unlock();
 2)   0.322 us    |    mutex_unlock();
 2) + 96.154 us   |  }
 3)   4.371 us    |  }
 2)   0.625 us    |  do_syscall_64();
 2)               |  do_syscall_64() {
 2)   0.242 us    |    mutex_lock();
 2)   0.302 us    |    mutex_lock();
 2)   0.233 us    |    mutex_unlock();
 3) # 5176.516 us |  do_syscall_64();
 2)   0.251 us    |    mutex_unlock();
 2) + 63.292 us   |  }
 2)   4.549 us    |  do_syscall_64();
 2)   3.295 us    |  do_syscall_64();
 2)               |  do_syscall_64() {
 2)   0.385 us    |    __mutex_init();
 2)   0.317 us    |    __mutex_init();
 2) + 21.468 us   |  }
 2)   2.250 us    |  do_syscall_64();
 2)   3.193 us    |  do_syscall_64();
 2)               |  do_syscall_64() {
 2)   0.313 us    |    __mutex_init();
 2)   0.253 us    |    __mutex_init();
 2) + 13.471 us   |  }
 2)   1.813 us    |  do_syscall_64();
 2)   2.685 us    |  do_syscall_64();
 2)               |  do_syscall_64() {
 2)   0.375 us    |    __mutex_init();
 2)   0.245 us    |    __mutex_init();
 2) + 18.813 us   |  }
 2)               |  do_syscall_64() {
 2)               |    __x64_sys_futex() {
 2)               |      do_futex() {
 2)               |        futex_wait() {
 2)               |          futex_wait_setup() {
 2)               |            get_futex_key() {
 2)   0.264 us    |              get_futex_key_refs.isra.0();
 2)   2.269 us    |            }
 2)   0.246 us    |            hash_futex();
 2)   0.242 us    |            get_futex_value_locked();
 2)   3.825 us    |          }
 2) * 52951.87 us |          futex_wait_queue_me();
 0)   1.956 us    |  mutex_unlock();
 0)               |  mutex_unlock() {
 0)   5.442 us    |    __mutex_unlock_slowpath.isra.0();
 0)   6.414 us    |  }
 0)               |  do_syscall_64() {
 0)   0.486 us    |    mutex_lock();
 0)               |  /* dbg start */
 0)   0.441 us    |    mutex_unlock();
 0)   5.091 us    |  }
 0)               |  do_syscall_64() {
 0)               |    __x64_sys_futex() {
 0)               |      do_futex() {
 0)               |        futex_wait() {
 0)               |          futex_wait_setup() {
 0)               |            get_futex_key() {
 0)   0.420 us    |              get_futex_key_refs.isra.0();
 0)   1.320 us    |            }
 0)   0.438 us    |            hash_futex();
 0)   0.438 us    |            get_futex_value_locked();
 0)   4.101 us    |          }
 0) * 35947.41 us |          futex_wait_queue_me();
 ------------------------------------------
 1) kworker-16581  => pthread-17263 
 ------------------------------------------

 1)   1.875 us    |  mutex_unlock();
 1)               |  mutex_unlock() {
 1)   6.423 us    |    __mutex_unlock_slowpath.isra.0();
 1)   7.314 us    |  }
 1)               |  do_syscall_64() {
 1)   0.522 us    |    mutex_lock();
 1)               |  /* dbg start */
 1)   0.528 us    |    mutex_unlock();
 1)   5.274 us    |  }
 1)               |  do_syscall_64() {
 1)               |    __x64_sys_futex() {
 1)               |      do_futex() {
 1)               |        futex_wait() {
 1)               |          futex_wait_setup() {
 1)               |            get_futex_key() {
 1)   0.417 us    |              get_futex_key_refs.isra.0();
 1)   1.323 us    |            }
 1)   0.525 us    |            hash_futex();
 1)   0.450 us    |            get_futex_value_locked();
 1)   4.059 us    |          }
 1) * 16110.55 us |          futex_wait_queue_me();
 ------------------------------------------
 3)   node-16320   => pthread-17264 
 ------------------------------------------

 3)   1.932 us    |  mutex_unlock();
 3)   0.414 us    |  mutex_unlock();
 3)               |  do_syscall_64() {
 3)   0.507 us    |    mutex_lock();
 3)               |  /* dbg start */
 3)   0.420 us    |    mutex_unlock();
 3)   4.955 us    |  }
 3)               |  do_syscall_64() {
 3)               |    __x64_sys_futex() {
 3)               |      do_futex() {
 3)               |        futex_wake() {
 3)               |          get_futex_key() {
 3)   0.414 us    |            get_futex_key_refs.isra.0();
 3)   1.326 us    |          }
 3)   0.438 us    |          hash_futex();
 3)               |          mark_wake_futex() {
 3)   0.510 us    |            __unqueue_futex();
 3)   1.545 us    |          }
 3)   0.486 us    |          drop_futex_key_refs.isra.0();
 3) + 12.273 us   |        }
 3) + 13.191 us   |      }
 3) + 14.094 us   |    }
 3) + 15.246 us   |  }
 3)               |  do_syscall_64() {
 3)   0.456 us    |    mutex_lock();
 3)               |  /* mutex_start */
 3)   0.417 us    |    mutex_unlock();
 3)   3.552 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 3)               |  /* mutex_stop */
 3)   0.414 us    |    mutex_unlock();
 3)   3.111 us    |  }
 3)               |  do_syscall_64() {
 3)   0.417 us    |    mutex_lock();
 3)               |  /* mutex_start */
 3)   0.414 us    |    mutex_unlock();
