# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 3)   1.607 us    |  mutex_unlock();
 3)               |  do_syscall_64() {
 3)   0.185 us    |    __mutex_init();
 3)   0.197 us    |    mutex_lock();
 3)   0.182 us    |    mutex_unlock();
 3)   0.179 us    |    mutex_lock();
 3)   0.178 us    |    mutex_unlock();
 3)   0.179 us    |    mutex_lock();
 3)   0.178 us    |    mutex_unlock();
 3)   0.180 us    |    mutex_lock();
 3)   0.177 us    |    mutex_unlock();
 3)   0.197 us    |    mutex_lock();
 3)   0.178 us    |    mutex_unlock();
 3)   0.176 us    |    __mutex_init();
 3)   7.976 us    |  }
 3)               |  do_syscall_64() {
 3)   0.180 us    |    mutex_lock();
 1)   1.560 us    |  mutex_lock();
 1)   0.510 us    |  mutex_unlock();
 ------------------------------------------
 1)  <...>-95089   =>  <...>-89882  
 ------------------------------------------

 1)   0.879 us    |  mutex_lock();
 1)   0.265 us    |  mutex_unlock();
 2)   1.779 us    |  mutex_lock();
 2)   0.243 us    |  mutex_is_locked();
 2)   0.185 us    |  mutex_unlock();
 2)               |  do_syscall_64() {
 2)   0.568 us    |    mutex_trylock();
 2)   0.235 us    |    mutex_unlock();
 2)   8.914 us    |  }
 3)   0.262 us    |    mutex_unlock();
 3) ! 126.433 us  |  }
 3)   1.045 us    |  do_syscall_64();
 3)               |  do_syscall_64() {
 3)   0.202 us    |    mutex_lock();
 3)   0.236 us    |    mutex_lock();
 3)   0.170 us    |    mutex_unlock();
 3)   0.187 us    |    mutex_unlock();
 3) + 99.242 us   |  }
 3)   9.256 us    |  do_syscall_64();
 3)   8.487 us    |  do_syscall_64();
 3)               |  do_syscall_64() {
 3)   0.254 us    |    __mutex_init();
 3)   0.254 us    |    __mutex_init();
 3) + 31.043 us   |  }
 3)               |  do_syscall_64() {
 3)               |    __x64_sys_futex() {
 3)               |      do_futex() {
 3)               |        futex_wait() {
 3)               |          futex_wait_setup() {
 3)               |            get_futex_key() {
 3)   0.205 us    |              get_futex_key_refs.isra.0();
 3)   2.164 us    |            }
 3)   0.252 us    |            hash_futex();
 3)   0.182 us    |            get_futex_value_locked();
 3)   3.465 us    |          }
 3) * 13417.15 us |          futex_wait_queue_me();
 ------------------------------------------
 1)  <...>-89882   =>  <...>-95492  
 ------------------------------------------

 1)   1.578 us    |  mutex_unlock();
 1)   0.525 us    |  mutex_unlock();
 1)               |  do_syscall_64() {
 1)   0.498 us    |    mutex_lock();
 1)               |  /* dbg start */
 1)   0.429 us    |    mutex_unlock();
 1)   5.313 us    |  }
 1)               |  do_syscall_64() {
 1)   0.429 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.420 us    |    mutex_unlock();
 1)   3.528 us    |  }
 1)               |  do_syscall_64() {
 1)   0.429 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.417 us    |    mutex_unlock();
 1)   3.272 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.417 us    |    mutex_unlock();
 1)   3.318 us    |  }
